"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,adult_selfreport_baseline_form,,text,"Record ID",,,,,,,,,,66,,,
country,adult_selfreport_baseline_form,,text,Country:,,,,,,,,,,,,,
stateetc,adult_selfreport_baseline_form,,text,State/Providence/Region:,,,,,,y,,,,,,,
years,adult_selfreport_baseline_form,,text,"Your age (years):",,,number,,,y,,,,,,,
before,adult_selfreport_baseline_form,BACKGROUND,descriptive,"First, before we get started with the main questions, we would like to obtain some background information about you.
",,,,,,,,,,,,,
sex,adult_selfreport_baseline_form,,dropdown,"Please specify your sex:","1, Male | 2, Female | 3, Other",,,,,,,,,,,,
sex_other,adult_selfreport_baseline_form,,text,Other:,,,,,,,"[sex] = '3'",,,,,,
race,adult_selfreport_baseline_form,,checkbox,"Thinking about what you know of your family history, which of the following best describes the geographic regions where your ancestors (i.e. your great-great-grandparents) come from?
You may select as many choices as you need.","1, England, Ireland, Scotland or Wales | 2, Australia - not of Aboriginal or Torres Strait Islander descent | 3, Australia - of Aboriginal or Torres Strait Islander descent | 4, New Zealand - not of Maori descent | 5, New Zealand - of Maori descent | 6, Northern Europe including Sweden, Norway, Finland and surrounding countries | 7, Western Europe including France, Germany, the Netherlands and surrounding countries | 8, Southern Europe including Italy, Greece, Spain, Portugal and surrounding countries | 9, Eastern Europe including Russia, Poland, Hungary and surrounding countries | 10, Middle East including Lebanon, Turkey and surrounding countries | 11, Eastern Asia including China, Japan, South Korea, North Korea, Taiwan and Hong Kong | 12, South-East Asia including Thailand, Malaysia, Indonesia, Singapore and surrounding countries | 13, South Asia including India, Pakistan, Sri Lanka and surrounding countries | 14, Polynesia, Micronesia or Melanesia including Tonga, Fiji, Papua New Guinea and surrounding countries | 15, Africa | 16, North America - not of First Nations, Native American, Inuit or Métis descent | 17, North America - of First Nations, Native American, Inuit or Métis descent | Caribbean, Central or South America | 18, Don't know | 19, Other",,,,,,,,,,,,
hispanic,adult_selfreport_baseline_form,,yesno,"Are you of Hispanic or Latino descent - that is, Mexican, Mexican American, Chicano, Puerto Rican, Cuban, South or Central American or other Spanish culture or origin?",,,,,,,,,,,,,
working,adult_selfreport_baseline_form,,checkbox,"Are you currently working or in school?","1, Working for pay | 2, On leave | 3, Unemployed and looking for a job | 4, Retired | 5, Staying at home / homemaker | 6, Disabled | 7, Enrolled in school/college/university",,,,,,,,,,,,
occupation,adult_selfreport_baseline_form,,text,"What is your occupation?",,,,,,,,,,,,,
military,adult_selfreport_baseline_form,,yesno,"Have you served in the military?",,,,,,,,,,,,,
location,adult_selfreport_baseline_form,,radio,"Which best describes the area in which you live?","1, Large city | 2, Suburbs of a large city | 3, Small city | 4, Town or village | 5, Rural area",,,,,,,,,,,,
education,adult_selfreport_baseline_form,,radio,"What is the highest level of education YOU completed?","1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree",,,,,,,,,,,,
educationmother,adult_selfreport_baseline_form,,radio,"What is the highest level of education your MOTHER completed?","1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree",,,,,,,,,,,,
