"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,youth_selfreport_follow_up_form,,text,"Record ID",,,,,,,,,,66,,,
country,youth_selfreport_follow_up_form,,text,Country:,,,,,,,,,,,,,
stateetc,youth_selfreport_follow_up_form,,text,State/Providence/Region:,,,,,,y,,,,,,,
years,youth_selfreport_follow_up_form,,text,"Your age (years):",,,number,,,y,,,,,,,
twoweekscovid,youth_selfreport_follow_up_form,"CORONAVIRUS/COVID-19 HEALTH/EXPOSURE STATUS",descriptive,"During the <u>PAST TWO WEEKS<u>:",,,,,,,,,,,,,
exposed,youth_selfreport_follow_up_form,,checkbox,"...have you been exposed to someone likely to have Coronavirus/COVID-19? (check all that apply)","1, Yes, someone with positive test | 2, Yes, someone with medical diagnosis, but no test | 3, Yes, someone with possible symptoms, but no diagnosis by doctor | 4, No",,,,,,,,,,,,
infected,youth_selfreport_follow_up_form,,radio,"...have you been suspected of having Coronavirus/COVID-19 infection?","1, Yes, has positive test | 2, Yes, medical diagnosis, but no test | 3, Yes, have had some possible symptoms, but no diagnosis by doctor | 4, No symptoms or signs",,,,,,,,,,,,
symptoms,youth_selfreport_follow_up_form,,checkbox,"...have you had any of the following symptoms? (check all that apply)","1, Fever | 2, Cough | 3, Shortness of breath | 4, Sore throat | 5, Fatigue | 6, Loss of taste or smell | 7, Other",,,,,,,,,,,,
othersymptoms,youth_selfreport_follow_up_form,,text,Other:,,,,,,,"[symptoms(7)] = '1'",,,,,,
diagnosedfamily,youth_selfreport_follow_up_form,,checkbox,"...has anyone in your family been diagnosed with Coronavirus/COVID-19? (check all that apply)","1, Yes, member of household | 2, Yes, non-household member | 3, No",,,,,,,,,,,,
impact,youth_selfreport_follow_up_form,,checkbox,"...have any of the following happened to your family members because of Coronavirus/COVID-19? (check all that apply) ","1, Fallen ill physically | 2, Hospitalized | 3, Put into self-quarantine with symptoms | 4, Put into self-quarantine without symptoms (e.g., due to possible exposure) | 5, Lost job | 6, Reduced ability to earn money | 7, Passed away | 8, None of the above",,,,,,,,,,,,
twoweeksworried,youth_selfreport_follow_up_form,,descriptive,"During the <u>PAST TWO WEEKS</u>, how worried have you been about:",,,,,,,,,,,,,
worriedyourself,youth_selfreport_follow_up_form,,radio,"...being infected?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedothers,youth_selfreport_follow_up_form,,radio,"...friends or family being infected?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedphysical,youth_selfreport_follow_up_form,,radio,"...your <i>physical health</i> being inﬂuenced by Coronavirus/COVID-19?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedmental,youth_selfreport_follow_up_form,,radio,"...your <i>Mental/Emotional health</i> being inﬂuenced by Coronavirus/COVID-19?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
readingtalking,youth_selfreport_follow_up_form,,radio,"How much are you reading, or talking about Coronavirus/COVID-19?","1, Never | 2, Rarely | 3, Occasionally | 4, Often | 5, Most of the time",,,,,,,,,,,,
positivechange,youth_selfreport_follow_up_form,,radio,"Has the Coronavirus/COVID-19 crisis in your area led to any positive changes in your life?
","1, None | 2, Only a few | 3, Some",,,,,,,,,,,,
specifypositive,youth_selfreport_follow_up_form,,text,"Please specify:",,,,,,,"[positivechange] = '2' or [positivechange] = '3'",,,,,,
twoweekslifechanges,youth_selfreport_follow_up_form,"LIFE CHANGES DUE TO CORONAVIRUS/COVID-19 CRISIS IN THE LAST TWO WEEKS
",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
schoolclosed,youth_selfreport_follow_up_form,,yesno,"...has your school building been closed? 
",,,,,,,,,,,,,
classesinsession,youth_selfreport_follow_up_form,,yesno,"Are classes in session?",,,,,,,"[schoolclosed] = '0'",,,,,,
classesirl,youth_selfreport_follow_up_form,,yesno,"Are you attending classes in-person? ",,,,,,,"[schoolclosed] = '0'",,,,,,
onlineclasses,youth_selfreport_follow_up_form,,yesno,"Have classes resumed online? ",,,,,,,"[schoolclosed] = '1'",,,,,,
internetcompacess,youth_selfreport_follow_up_form,,yesno,"Do you have easy access to the internet and a computer?",,,,,,,"[schoolclosed] = '1'",,,,,,
assignments,youth_selfreport_follow_up_form,,yesno,"Are there assignments for you to complete? ",,,,,,,"[schoolclosed] = '1'",,,,,,
mealsfromschool,youth_selfreport_follow_up_form,,yesno,"Are you able to receive meals from the school?",,,,,,,"[schoolclosed] = '1'",,,,,,
inpersonconvo,youth_selfreport_follow_up_form,,text,"...how many people, from outside of your household, have you had an in-person conversation with? 
",,,number,,,,,,,,,,
timeoutside,youth_selfreport_follow_up_form,,radio,"...how much time have you spent going outside of the home (e.g., going to stores, parks, etc.)?

","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 5, Every day",,,,,,,,,,,,
restrictionsstress,youth_selfreport_follow_up_form,,radio,"...how stressful have the restrictions on leaving home been for you?

","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
contactschanged,youth_selfreport_follow_up_form,,radio,"...have your contacts with people outside of your home changed relative to <i>before</i> the Coronavirus/COVID-19 crisis in your area?

","1, A lot less | 2, A little less | 3, About the same | 4, A little more | 5, A lot more",,,,,,,,,,,,
difficultydistancing,youth_selfreport_follow_up_form,,radio,"...how much difﬁculty have you had following the recommendations for keeping away from close contact with people?

","1, None | 2, A little | 3, Moderate | 4, A lot | 5, A great amount",,,,,,,,,,,,
familychange,youth_selfreport_follow_up_form,,radio,"...has the quality of the relationships between you and members of your family changed? 

","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
familychangestress,youth_selfreport_follow_up_form,,radio,"...how stressful have these changes in family contacts been for you?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
friendschange,youth_selfreport_follow_up_form,,radio,"...has the quality of your relationships with your friends changed?




","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
friendchangestress,youth_selfreport_follow_up_form,,radio,"...how stressful have these changes in social contacts been for you?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
difficultycancellations,youth_selfreport_follow_up_form,,radio,"...how much has cancellation of important events (such as graduation, prom, vacation, etc.) in your life been difficult for you?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
financedifficulty,youth_selfreport_follow_up_form,,radio,"...to what degree have changes related to the Coronavirus/COVID-19 crisis in your area created financial problems for you or your family?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
livingdifficulty,youth_selfreport_follow_up_form,,radio,"...to what degree are you concerned about the stability of your living situation?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
foodsecurity,youth_selfreport_follow_up_form,,yesno,"...did you worry whether your food would run out because of a lack of money? 


",,,,,,,,,,,,,
hopefullyend,youth_selfreport_follow_up_form,,radio,"How hopeful are you that the Coronavirus/COVID-19 crisis in your area will end soon?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
twoweeksbehaviors,youth_selfreport_follow_up_form,"DAILY BEHAVIORS (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
hoursofsleepprior_2,youth_selfreport_follow_up_form,,radio,"...how many hours per night did you sleep on average?
","1, <6 hours | 2, 6-8 hours | 3, 8-10 hours | 4, >10 hours",,,,,,,,,,,,
exerciseprior_2,youth_selfreport_follow_up_form,,radio,"...how many days per week did you exercise (e.g., increased heart rate, breathing) for at least 30 minutes?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
outdoorsprior_2,youth_selfreport_follow_up_form,,radio,"...how many days per week did you spend time outdoors?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
twoweeksemotions,youth_selfreport_follow_up_form,"EMOTIONS/WORRIES (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
priorworry_2,youth_selfreport_follow_up_form,,radio,"...how worried were you generally?


","1, Not worried at all | 2, Slightly worried | 3, Moderately worried | 4, Very worried | 5, Extremely worried",,,,,,,,,,,,
priorhappyvssad_2,youth_selfreport_follow_up_form,,radio,"...how happy versus sad were you?


","1, Very sad/depressed/unhappy | 2, Moderately sad/depressed/unhappy | 3, Neutral | 4, Moderately happy/cheerful | 5, Very happy/cheerful",,,,,,,,,,,,
priorenjoyactivities_2,youth_selfreport_follow_up_form,,radio,"...how much were you able to enjoy your usual activities? ","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, A lot",,,,,,,,,,,,
priorrelaxedvsanxious_2,youth_selfreport_follow_up_form,,radio,"...how relaxed versus anxious were you?","1, Very relaxed/calm | 2, Moderately relaxed/calm | 3, Neutral | 4, Moderately nervous/anxious | 5, Very nervous/anxious",,,,,,,,,,,,
priorfidget_2,youth_selfreport_follow_up_form,,radio,"...how fidgety or restless were you?","1, Not fidgety/restless at all | 2, Slightly fidgety/restless | 3, Moderately fidgety/restless | 4, Very fidgety/restless | 5, Extremely fidgety/restless",,,,,,,,,,,,
priorfatigue_2,youth_selfreport_follow_up_form,,radio,"...how fatigued or tired were you?","1, Not fatigued or tired at all | 2, Slightly fatigued or tired | 3, Moderately fatigued or tired | 4, Very fatigued or tired | 5, Extremely fatigued or tired",,,,,,,,,,,,
priorfocus_2,youth_selfreport_follow_up_form,,radio,"...how well were you able to concentrate or focus?","1, Very focused/attentive | 2, Moderately focused/attentive | 3, Neutral | 4, Moderately unfocused/distracted | 5, Very unfocused/distracted",,,,,,,,,,,,
priorirritable_2,youth_selfreport_follow_up_form,,radio,"...how irritable or easily angered were you?","1, Not irritable or easily angered at all | 2, Slightly irritable or easily angered | 3, Moderately irritable or easily angered | 4, Very irritable or easily angered | 5, Extremely irritable or easily angered",,,,,,,,,,,,
priorlonely_2,youth_selfreport_follow_up_form,,radio,"...how lonely were you?","1, Not lonely at all | 2, Slightly lonely | 3, Moderately lonely | 4, Very lonely | 5, Extremely lonely",,,,,,,,,,,,
priornegthoughts_2,youth_selfreport_follow_up_form,,radio,"...to what extent did you have negative thoughts, thought about unpleasant experiences or things that made you feel bad?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, A lot of the time",,,,,,,,,,,,
twoweeksmedia,youth_selfreport_follow_up_form,"MEDIA USE (PAST TWO WEEKS) ",descriptive,"During the <u>PAST TWO WEEKS</u>, how much time per day did you spend:",,,,,,,,,,,,,
priortvmedia_2,youth_selfreport_follow_up_form,,radio,"...watching TV or digital media (e.g., Netflix, YouTube, web surfing)? 
","1, No TV or digital media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorsocialmedia_2,youth_selfreport_follow_up_form,,radio,"...using social media (e.g., Facetime, Facebook, Instagram, Snapchat, Twitter, TikTok)?
","1, No social media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorvideogames_2,youth_selfreport_follow_up_form,,radio,"...playing video games?
","1, No video games | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
twoweekssubstances,youth_selfreport_follow_up_form,"SUBSTANCE USE (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>, how frequently did you use:",,,,,,,,,,,,,
twoweeksalcohol,youth_selfreport_follow_up_form,,radio,...alcohol?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksvaping,youth_selfreport_follow_up_form,,radio,...vaping?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweekstobacco,youth_selfreport_follow_up_form,,radio,"...cigarettes or other tobacco products?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksmarijuana,youth_selfreport_follow_up_form,,radio,"...marijuana/cannabis (e.g., joint, blunt, pipe, bong)?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksopiates,youth_selfreport_follow_up_form,,radio,"...opiates, heroin, or narcotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksother,youth_selfreport_follow_up_form,,radio,"...other drugs including cocaine, crack, amphetamine, methamphetamine, hallucinogens, or ecstasy?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksleeping,youth_selfreport_follow_up_form,,radio,"...sleeping medications or sedatives/hypnotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
disruptedsupports,youth_selfreport_follow_up_form,SUPPORTS,checkbox,"Which of the following supports were in place for you before the Coronavirus/COVID-19 crisis in your area and have been disrupted over the <u>PAST TWO WEEKS?</u> (check all that apply)","1, Resource room | 2, Tutoring | 3, Mentoring programs | 4, After school activity programs | 5, Volunteer programs | 6, Psychotherapy | 7, Psychiatric care | 8, Occupational therapy | 9, Physical therapy | 10, Speech/language therapy | 11, Sporting activities | 12, Medical care for chronic illnesses | 13, Other",,,,,,,,,,,,
disruptedsupportsother,youth_selfreport_follow_up_form,,text,"Other (please specify):",,,,,,,"[disruptedsupports(13)] = '1'",,,,,,
anything_else,youth_selfreport_follow_up_form,"ADDITIONAL CONCERNS AND COMMENTS",notes,"Please describe anything else that concerns you about the impact of Coronavirus/COVID-19 on you, your friends, or your family.",,,,,,,,,,,,,
surveycomments,youth_selfreport_follow_up_form,,notes,"Please provide any comments that you would like to share about this survey and/or related topics.",,,,,,,,,,,,,
