"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,parentcaregiver_follow_up_form,,text,"Record ID",,,,,,,,,,66,,,
country,parentcaregiver_follow_up_form,,text,Country:,,,,,,,,,,,,,
stateetc,parentcaregiver_follow_up_form,,text,State/Providence/Region:,,,,,,y,,,,,,,
years,parentcaregiver_follow_up_form,,text,"Your age (years):",,,number,,,y,,,,,,,
years_2,parentcaregiver_follow_up_form,,text,"Your child's age (years):",,,number,,,y,,,,,,,
twoweekscovid,parentcaregiver_follow_up_form,"CORONAVIRUS/COVID-19 HEALTH/EXPOSURE STATUS",descriptive,"During the <u>PAST TWO WEEKS<u>:",,,,,,,,,,,,,
exposed,parentcaregiver_follow_up_form,,checkbox,"...has your child been exposed to someone likely to have Coronavirus/COVID-19? (check all that apply)","1, Yes, someone with positive test | 2, Yes, someone with medical diagnosis, but no test | 3, Yes, someone with possible symptoms, but no diagnosis by doctor | 4, No",,,,,,,,,,,,
infected,parentcaregiver_follow_up_form,,radio,"...has your child been suspected of having Coronavirus/COVID-19 infection?","1, Yes, has positive test | 2, Yes, medical diagnosis, but no test | 3, Yes, has had some possible symptoms, but no diagnosis by doctor | 4, No symptoms or signs",,,,,,,,,,,,
symptoms,parentcaregiver_follow_up_form,,checkbox,"...has your child had any of the following symptoms? (check all that apply)","1, Fever | 2, Cough | 3, Shortness of breath | 4, Sore throat | 5, Fatigue | 6, Loss of taste or smell | 7, Other",,,,,,,,,,,,
othersymptoms,parentcaregiver_follow_up_form,,text,Other:,,,,,,,"[symptoms(7)] = '1'",,,,,,
diagnosedfamily,parentcaregiver_follow_up_form,,checkbox,"...has anyone in your child's family been diagnosed with Coronavirus/COVID-19? (check all that apply)","1, Yes, member of household | 2, Yes, non-household member | 3, No",,,,,,,,,,,,
impact,parentcaregiver_follow_up_form,,checkbox,"...have any of the following happened to your child's family members because of Coronavirus/COVID-19? (check all that apply) ","1, Fallen ill physically | 2, Hospitalized | 3, Put into self-quarantine with symptoms | 4, Put into self-quarantine without symptoms (e.g., due to possible exposure) | 5, Lost job | 6, Reduced ability to earn money | 7, Passed away | 8, None of the above",,,,,,,,,,,,
twoweeksworried,parentcaregiver_follow_up_form,,descriptive,"During the <u>PAST TWO WEEKS</u>, how worried has your child been about:",,,,,,,,,,,,,
worriedyourself,parentcaregiver_follow_up_form,,radio,"...being infected?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedothers,parentcaregiver_follow_up_form,,radio,"...friends or family being infected?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedphysical,parentcaregiver_follow_up_form,,radio,"...his/her <i>physical health</i> being inﬂuenced by Coronavirus/COVID-19?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedmental,parentcaregiver_follow_up_form,,radio,"...his/her <i>Mental/Emotional health</i> being inﬂuenced by Coronavirus/COVID-19?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
readingtalking,parentcaregiver_follow_up_form,,radio,"How much is your child asking questions, reading, or talking about Coronavirus/COVID-19?","1, Never | 2, Rarely | 3, Occasionally | 4, Often | 5, Most of the time",,,,,,,,,,,,
positivechange,parentcaregiver_follow_up_form,,radio,"Has the Coronavirus/COVID-19 crisis in your area led to any positive changes in your child's life?
","1, None | 2, Only a few | 3, Some",,,,,,,,,,,,
specifypositive,parentcaregiver_follow_up_form,,text,"Please specify:",,,,,,,"[positivechange] = '2' or [positivechange] = '3'",,,,,,
twoweekslifechanges,parentcaregiver_follow_up_form,"LIFE CHANGES DUE TO CORONAVIRUS/COVID-19 CRISIS IN THE LAST TWO WEEKS
",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
schoolclosed,parentcaregiver_follow_up_form,,yesno,"...has your child's school building been closed? 
",,,,,,,,,,,,,
classesinsession,parentcaregiver_follow_up_form,,yesno,"Are classes in session?",,,,,,,"[schoolclosed] = '0'",,,,,,
classesirl,parentcaregiver_follow_up_form,,yesno,"Are they attending classes in-person? ",,,,,,,"[schoolclosed] = '0'",,,,,,
onlineclasses,parentcaregiver_follow_up_form,,yesno,"Have classes resumed online? ",,,,,,,"[schoolclosed] = '1'",,,,,,
internetcompacess,parentcaregiver_follow_up_form,,yesno,"Do they have easy access to the internet and a computer?",,,,,,,"[schoolclosed] = '1'",,,,,,
assignments,parentcaregiver_follow_up_form,,yesno,"Are there assignments for them to complete? ",,,,,,,"[schoolclosed] = '1'",,,,,,
mealsfromschool,parentcaregiver_follow_up_form,,yesno,"Are they able to receive meals from the school?",,,,,,,"[schoolclosed] = '1'",,,,,,
inpersonconvo,parentcaregiver_follow_up_form,,text,"...how many people, from outside of your household, has your child had an in-person conversation with? 
",,,number,,,,,,,,,,
timeoutside,parentcaregiver_follow_up_form,,radio,"...how much time has your child spent going outside of the home (e.g., going to stores, parks, etc.)?

","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 5, Every day",,,,,,,,,,,,
restrictionsstress,parentcaregiver_follow_up_form,,radio,"...how stressful have the restrictions on leaving home been for your child?

","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
contactschanged,parentcaregiver_follow_up_form,,radio,"...have your child's contacts with people outside of your home changed relative to <i>before</i> the Coronavirus/COVID-19 crisis in your area?

","1, A lot less | 2, A little less | 3, About the same | 4, A little more | 5, A lot more",,,,,,,,,,,,
difficultydistancing,parentcaregiver_follow_up_form,,radio,"...how much difﬁculty has your child had following the recommendations for keeping away from close contact with people?

","1, None | 2, A little | 3, Moderate | 4, A lot | 5, A great amount",,,,,,,,,,,,
familychange,parentcaregiver_follow_up_form,,radio,"...has the quality of the relationships between your child and members of his/her family changed? 

","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
familychangestress,parentcaregiver_follow_up_form,,radio,"...how stressful have these changes in family contacts been for your child?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
friendschange,parentcaregiver_follow_up_form,,radio,"...has the quality of your child's relationships with his/her friends changed?




","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
friendchangestress,parentcaregiver_follow_up_form,,radio,"...how stressful have these changes in social contacts been for your child?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
difficultycancellations,parentcaregiver_follow_up_form,,radio,"...how much has cancellation of important events (such as graduation, prom, vacation, etc.) in your child's life been difficult for him/her?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
financedifficulty,parentcaregiver_follow_up_form,,radio,"...to what degree have changes related to the Coronavirus/COVID-19 crisis in your area created financial problems for you or your family?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
livingdifficulty,parentcaregiver_follow_up_form,,radio,"...to what degree is your child concerned about the stability of your living situation?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
foodsecurity,parentcaregiver_follow_up_form,,yesno,"...did your child worry whether your food would run out because of a lack of money? 


",,,,,,,,,,,,,
hopefullyend,parentcaregiver_follow_up_form,,radio,"How hopeful is your child that the Coronavirus/COVID-19 crisis in your area will end soon?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
twoweeksbehaviors,parentcaregiver_follow_up_form,"DAILY BEHAVIORS (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
hoursofsleepprior_2,parentcaregiver_follow_up_form,,radio,"...how many hours per night did your child sleep on average?
","1, <6 hours | 2, 6-8 hours | 3, 8-10 hours | 4, >10 hours",,,,,,,,,,,,
exerciseprior_2,parentcaregiver_follow_up_form,,radio,"...how many days per week did your child exercise (e.g., increased heart rate, breathing) for at least 30 minutes?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
outdoorsprior_2,parentcaregiver_follow_up_form,,radio,"...how many days per week did your child spend time outdoors?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
twoweeksemotions,parentcaregiver_follow_up_form,"EMOTIONS/WORRIES (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
priorworry_2,parentcaregiver_follow_up_form,,radio,"...how worried was your child generally?


","1, Not worried at all | 2, Slightly worried | 3, Moderately worried | 4, Very worried | 5, Extremely worried",,,,,,,,,,,,
priorhappyvssad_2,parentcaregiver_follow_up_form,,radio,"...how happy versus sad was your child?


","1, Very sad/depressed/unhappy | 2, Moderately sad/depressed/unhappy | 3, Neutral | 4, Moderately happy/cheerful | 5, Very happy/cheerful",,,,,,,,,,,,
priorenjoyactivities_2,parentcaregiver_follow_up_form,,radio,"...how much was your child able to enjoy his/her usual activities? ","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, A lot",,,,,,,,,,,,
priorrelaxedvsanxious_2,parentcaregiver_follow_up_form,,radio,"...how relaxed versus anxious was your child?","1, Very relaxed/calm | 2, Moderately relaxed/calm | 3, Neutral | 4, Moderately nervous/anxious | 5, Very nervous/anxious",,,,,,,,,,,,
priorfidget_2,parentcaregiver_follow_up_form,,radio,"...how fidgety or restless was your child?","1, Not fidgety/restless at all | 2, Slightly fidgety/restless | 3, Moderately fidgety/restless | 4, Very fidgety/restless | 5, Extremely fidgety/restless",,,,,,,,,,,,
priorfatigue_2,parentcaregiver_follow_up_form,,radio,"...how fatigued or tired was your child?","1, Not fatigued or tired at all | 2, Slightly fatigued or tired | 3, Moderately fatigued or tired | 4, Very fatigued or tired | 5, Extremely fatigued or tired",,,,,,,,,,,,
priorfocus_2,parentcaregiver_follow_up_form,,radio,"...how well was your child able to concentrate or focus?","1, Very focused/attentive | 2, Moderately focused/attentive | 3, Neutral | 4, Moderately unfocused/distracted | 5, Very unfocused/distracted",,,,,,,,,,,,
priorirritable_2,parentcaregiver_follow_up_form,,radio,"...how irritable or easily angered was your child?","1, Not irritable or easily angered at all | 2, Slightly irritable or easily angered | 3, Moderately irritable or easily angered | 4, Very irritable or easily angered | 5, Extremely irritable or easily angered",,,,,,,,,,,,
priorlonely_2,parentcaregiver_follow_up_form,,radio,"...how lonely was your child?","1, Not lonely at all | 2, Slightly lonely | 3, Moderately lonely | 4, Very lonely | 5, Extremely lonely",,,,,,,,,,,,
priornegthoughts_2,parentcaregiver_follow_up_form,,radio,"...to what extent was your child expressing negative thoughts or things that make them feel bad?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, A lot of the time",,,,,,,,,,,,
twoweeksmedia,parentcaregiver_follow_up_form,"MEDIA USE (PAST TWO WEEKS) ",descriptive,"During the <u>PAST TWO WEEKS</u>, how much time per day did your child spend:",,,,,,,,,,,,,
priortvmedia_2,parentcaregiver_follow_up_form,,radio,"...watching TV or digital media (e.g., Netflix, YouTube, web surfing)? 
","1, No TV or digital media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorsocialmedia_2,parentcaregiver_follow_up_form,,radio,"...using social media (e.g., Facetime, Facebook, Instagram, Snapchat, Twitter, TikTok)?
","1, No social media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorvideogames_2,parentcaregiver_follow_up_form,,radio,"...playing video games?
","1, No video games | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
twoweekssubstances,parentcaregiver_follow_up_form,"SUBSTANCE USE (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>, how frequently did your child use:",,,,,,,,,,,,,
twoweeksalcohol,parentcaregiver_follow_up_form,,radio,...alcohol?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksvaping,parentcaregiver_follow_up_form,,radio,...vaping?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweekstobacco,parentcaregiver_follow_up_form,,radio,"...cigarettes or other tobacco?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksmarijuana,parentcaregiver_follow_up_form,,radio,"...marijuana/cannabis (e.g., joint, blunt, pipe, bong)?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksopiates,parentcaregiver_follow_up_form,,radio,"...opiates, heroin, or narcotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksother,parentcaregiver_follow_up_form,,radio,"...other drugs including cocaine, crack, amphetamine, methamphetamine, hallucinogens, or ecstasy?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksleeping,parentcaregiver_follow_up_form,,radio,"...sleeping medications or sedatives/hypnotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
disruptedsupports,parentcaregiver_follow_up_form,SUPPORTS,checkbox,"Which of the following supports for your child were in place before the Coronavirus/COVID-19 crisis in your area and have been disrupted over the <u>PAST TWO WEEKS?</u> (check all that apply)","1, Resource room | 2, Tutoring | 3, Mentoring programs | 4, After school activity programs | 5, Volunteer programs | 6, Psychotherapy | 7, Psychiatric care | 8, Occupational therapy | 9, Physical therapy | 10, Speech/language therapy | 11, Sporting activities | 12, Medical care for chronic illnesses | 13, Other",,,,,,,,,,,,
disruptedsupportsother,parentcaregiver_follow_up_form,,text,Other:,,,,,,,"[disruptedsupports(13)] = '1'",,,,,,
anything_else,parentcaregiver_follow_up_form,"ADDITIONAL CONCERNS AND COMMENTS",notes,"Please describe anything else that concerns you about the impact of Coronavirus/COVID-19 on your child.",,,,,,,,,,,,,
surveycomments,parentcaregiver_follow_up_form,,notes,"Please provide any comments that you would like to share about this survey and/or related topics.",,,,,,,,,,,,,
